Tree,Food squirrels can eat (Yes / No)
Kohuhu,Yes
Apricot,Yes
Pissard's Plum,Yes
Cork Oak,Yes
Rhododendron,No
Sargent's Rowan,Yes
Thibetan Whitebeam,Yes
Vilmorin's Rowan,Yes
Northern White-cedar,No
American lime,Yes
Silver Pendant Lime,Yes
Caucasian Elm,Yes
Japanese Bitter-orange,Yes
Dombey's Beech,Yes
Broad Leaved Lime var. Rubra,Yes
Californian Bay,Yes
Wrinkled Viburnum,Yes
Delavay's Silver-fir,No
Variegated Sycamore,Yes
Tartar Maple,Yes
Japanese Horse-chestnut,No
Monarch Birch,Yes
Siberian Pea-tree,Yes
Sawara Cypress,No
Franchet's Cotoneaster,Yes
Pear-fruited Cockspurthorn,Yes
Fern-leaved Beech,Yes
Sea-buckthorn,Yes
Chinese Juniper,Yes
Rauli,Yes
Mock-orange,No
White Spruce,No
Lodgepole Pine,No
Laurel-leaved Poplar,Yes
Fuji Cherry,Yes
